Variable,Resolved Column,Specification,Formula,Term,Coefficient,Std Err,t-stat,P-value,CI Lower,CI Upper
Batting_G,Batting_G,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_G"")",Intercept,-1.2844,1.5444,-0.8316,0.4082,-4.3591,1.7904
Batting_G,Batting_G,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_G"")","Q(""Batting_G"")",0.0187,0.0162,1.1558,0.2513,-0.0135,0.0509
SLG,Batting_SLG,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_SLG"")",Intercept,-0.1182,0.1061,-1.1145,0.2685,-0.3295,0.093
SLG,Batting_SLG,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_SLG"")","Q(""Batting_SLG"")",1.5217,0.2597,5.86,0.0,1.0047,2.0387
ERA,Pitching_ERA,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_ERA"")",Intercept,0.923,0.0423,21.8146,0.0,0.8388,1.0073
ERA,Pitching_ERA,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_ERA"")","Q(""Pitching_ERA"")",-0.0867,0.0085,-10.1707,0.0,-0.1036,-0.0697
RA9,Pitching_RA9,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_RA9"")",Intercept,0.9459,0.0421,22.4491,0.0,0.862,1.0298
RA9,Pitching_RA9,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_RA9"")","Q(""Pitching_RA9"")",-0.0793,0.0074,-10.7551,0.0,-0.094,-0.0646
FIP,FIP,OLS,"Q(""Pitching_W-L%"") ~ Q(""FIP"")",Intercept,1.1066,0.0821,13.4795,0.0,0.9432,1.27
FIP,FIP,OLS,"Q(""Pitching_W-L%"") ~ Q(""FIP"")","Q(""FIP"")",-0.1244,0.0167,-7.4309,0.0,-0.1578,-0.0911
Batting_BatAge,Batting_BatAge,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_BatAge"")",Intercept,-0.7716,0.3909,-1.9739,0.0519,-1.5499,0.0066
Batting_BatAge,Batting_BatAge,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_BatAge"")","Q(""Batting_BatAge"")",0.0496,0.0152,3.2559,0.0017,0.0193,0.08
Batting_AB,Batting_AB,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_AB"")",Intercept,-0.6922,0.5231,-1.3232,0.1896,-1.7336,0.3492
Batting_AB,Batting_AB,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_AB"")","Q(""Batting_AB"")",0.0004,0.0002,2.2808,0.0253,0.0,0.0007
Batting_H,Batting_H,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_H"")",Intercept,-0.3367,0.1366,-2.4658,0.0159,-0.6086,-0.0649
Batting_H,Batting_H,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_H"")","Q(""Batting_H"")",0.001,0.0002,6.1483,0.0,0.0007,0.0013
Batting_3B,Batting_3B,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_3B"")",Intercept,0.4821,0.03,16.0832,0.0,0.4225,0.5418
Batting_3B,Batting_3B,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_3B"")","Q(""Batting_3B"")",0.0012,0.0017,0.6742,0.5021,-0.0023,0.0046
HR,Batting_HR,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_HR"")",Intercept,0.3574,0.0392,9.129,0.0,0.2795,0.4354
HR,Batting_HR,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_HR"")","Q(""Batting_HR"")",0.0016,0.0004,3.819,0.0003,0.0008,0.0025
Batting_SB,Batting_SB,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_SB"")",Intercept,0.4359,0.0409,10.6468,0.0,0.3544,0.5174
Batting_SB,Batting_SB,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_SB"")","Q(""Batting_SB"")",0.0005,0.0003,1.6554,0.1019,-0.0001,0.0012
Batting_CS,Batting_CS,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_CS"")",Intercept,0.4794,0.0406,11.8091,0.0,0.3986,0.5602
Batting_CS,Batting_CS,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_CS"")","Q(""Batting_CS"")",0.0006,0.0012,0.5473,0.5857,-0.0017,0.0029
Batting_TB,Batting_TB,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_TB"")",Intercept,-0.0365,0.0951,-0.3835,0.7024,-0.2258,0.1528
Batting_TB,Batting_TB,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_TB"")","Q(""Batting_TB"")",0.0004,0.0001,5.6821,0.0,0.0003,0.0006
Batting_HBP,Batting_HBP,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_HBP"")",Intercept,0.3863,0.0544,7.0986,0.0,0.2779,0.4946
Batting_HBP,Batting_HBP,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_HBP"")","Q(""Batting_HBP"")",0.0015,0.0007,2.1535,0.0344,0.0001,0.0029
Batting_SH,Batting_SH,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_SH"")",Intercept,0.4904,0.0293,16.7508,0.0,0.4321,0.5487
Batting_SH,Batting_SH,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_SH"")","Q(""Batting_SH"")",0.0005,0.0012,0.3831,0.7027,-0.0019,0.0028
Batting_SF,Batting_SF,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_SF"")",Intercept,0.2862,0.0458,6.2524,0.0,0.1951,0.3773
Batting_SF,Batting_SF,OLS,"Q(""Pitching_W-L%"") ~ Q(""Batting_SF"")","Q(""Batting_SF"")",0.0063,0.0013,4.8196,0.0,0.0037,0.0089
Pitching_G,Pitching_G,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_G"")",Intercept,-1.2844,1.5444,-0.8316,0.4082,-4.3591,1.7904
Pitching_G,Pitching_G,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_G"")","Q(""Pitching_G"")",0.0187,0.0162,1.1558,0.2513,-0.0135,0.0509
Pitching_GS,Pitching_GS,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_GS"")",Intercept,-0.856,1.5592,-0.549,0.5846,-3.96,2.2481
Pitching_GS,Pitching_GS,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_GS"")","Q(""Pitching_GS"")",0.0142,0.0163,0.8701,0.3869,-0.0183,0.0468
Pitching_GF,Pitching_GF,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_GF"")",Intercept,0.6876,0.5644,1.2183,0.2268,-0.436,1.8113
Pitching_GF,Pitching_GF,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_GF"")","Q(""Pitching_GF"")",-0.002,0.0061,-0.3315,0.7412,-0.0142,0.0101
Pitching_CG,Pitching_CG,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_CG"")",Intercept,0.4859,0.0237,20.5271,0.0,0.4388,0.5331
Pitching_CG,Pitching_CG,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_CG"")","Q(""Pitching_CG"")",0.0049,0.0067,0.7232,0.4717,-0.0085,0.0182
Pitching_SV,Pitching_SV,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_SV"")",Intercept,0.2429,0.0324,7.4905,0.0,0.1783,0.3075
Pitching_SV,Pitching_SV,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_SV"")","Q(""Pitching_SV"")",0.0127,0.0015,8.2708,0.0,0.0096,0.0157
Pitching_ER,Pitching_ER,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_ER"")",Intercept,0.9534,0.0482,19.7907,0.0,0.8575,1.0493
Pitching_ER,Pitching_ER,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_ER"")","Q(""Pitching_ER"")",-0.001,0.0001,-9.5444,0.0,-0.0012,-0.0008
SO9,Pitching_SO9,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_SO9"")",Intercept,0.1647,0.1247,1.3215,0.1902,-0.0834,0.4129
SO9,Pitching_SO9,OLS,"Q(""Pitching_W-L%"") ~ Q(""Pitching_SO9"")","Q(""Pitching_SO9"")",0.0413,0.0153,2.706,0.0084,0.0109,0.0717
