Variable,Resolved Column,Category,Coefficient,Intercept,Std Err,Robust Std Err,P-value,Robust P-value,t-stat,R-squared,Adjusted R-squared,F-statistic,F-statistic p-value,CI Lower,CI Upper,Breusch-Pagan p-value,White test p-value,Jarque-Bera p-value,JB Statistic,Residual Skewness,Residual Kurtosis,Uses Robust SE?,Observations,Sign,Significance Stars,Max Cook's Distance,Influential Observations,High Leverage Count,Max Leverage,Interpretation,Warning Summary,Assumption Violation Score
ERA,Pitching_ERA,Pitching,-0.0867,0.923,0.0085,,0.0,,-10.1707,0.5701153560459071,0.5646040144567521,103.44402480291798,5.932546517160757e-16,-0.1036,-0.0697,0.2824,0.3214,0.541483966455109,1.226883644961291,0.024345207126399003,2.3952733369130494,False,80,-,***,0.19402316892175608,4,4,0.27308500124053564,ERA has a statistically significant negative relationship with WinPct and explains approximately 57.0% of the variation in team winning percentage. ERA residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is not rejected at the 5% level.,4 observations exceed the leverage threshold of 0.0500. | 4 observations exceed the Cook's distance threshold of 0.0500.,0.7940231689217561
RA9,Pitching_RA9,Pitching,-0.0793,0.9459,0.0074,,0.0,,-10.7551,0.5972595344800481,0.5920961951785102,115.67311377390223,4.558439265729659e-17,-0.094,-0.0646,0.0817,0.1306,0.5871067597590666,1.06509720433242,0.09867231724789459,2.470297954945,False,80,-,***,0.21325368399313893,4,4,0.2549323023006268,RA9 has a statistically significant negative relationship with WinPct and explains approximately 59.7% of the variation in team winning percentage. RA9 residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is not rejected at the 5% level.,4 observations exceed the leverage threshold of 0.0500. | 4 observations exceed the Cook's distance threshold of 0.0500.,0.813253683993139
Pitching_ER,Pitching_ER,Pitching,-0.001,0.9534,0.0001,,0.0,,-9.5444,0.5387233174426587,0.5328095138201286,91.09590913541098,9.52320953179111e-15,-0.0012,-0.0008,0.0575,0.1645,0.5229584193832779,1.296506644250196,0.017848455464238452,2.377362285253115,False,80,-,***,0.3879790375777422,4,4,0.22682159038932115,Pitching_ER has a statistically significant negative relationship with WinPct and explains approximately 53.9% of the variation in team winning percentage. Pitching_ER residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is not rejected at the 5% level.,4 observations exceed the leverage threshold of 0.0500. | 4 observations exceed the Cook's distance threshold of 0.0500.,0.9879790375777422
FIP,FIP,Pitching,-0.1244,1.1066,0.0167,,0.0,,-7.4309,0.414497010946155,0.4069905623685416,55.218790438705746,1.180352073392448e-10,-0.1578,-0.0911,0.3691,0.3932,0.500607399918329,1.3838662359911538,-0.08678706155721051,2.3794906168458,False,80,-,***,0.5633610759675379,4,6,0.24009421088502225,FIP has a statistically significant negative relationship with WinPct and explains approximately 41.4% of the variation in team winning percentage. FIP residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is not rejected at the 5% level.,6 observations exceed the leverage threshold of 0.0500. | 4 observations exceed the Cook's distance threshold of 0.0500.,1.263361075967538
Pitching_SV,Pitching_SV,Pitching,0.0127,0.2429,0.0015,,0.0,,8.2708,0.46723263358080447,0.4604022827292763,68.40536360972892,2.810037908650355e-12,0.0096,0.0157,0.1577,0.0527,0.711800479847714,0.6799152635469806,-0.013984006752323351,2.549231357252195,False,80,+,***,0.5805578367694478,4,6,0.16264230295120002,Pitching_SV has a statistically significant positive relationship with WinPct and explains approximately 46.7% of the variation in team winning percentage. Pitching_SV residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is not rejected at the 5% level.,6 observations exceed the leverage threshold of 0.0500. | 4 observations exceed the Cook's distance threshold of 0.0500.,1.280557836769448
Batting_HBP,Batting_HBP,Offense,0.0015,0.3863,0.0007,,0.0344,,2.1535,0.0561198614542765,0.04401883403702367,4.637611296894047,0.034367458318346505,0.0001,0.0029,0.0975,0.2272,5.246594738354603e-05,19.710692440156528,-0.7879249663863511,4.85200019476976,False,80,+,**,0.17278509150428584,3,4,0.11553455549687924,Batting_HBP has a statistically significant positive relationship with WinPct and explains approximately 5.6% of the variation in team winning percentage. Batting_HBP residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,4 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.672785091504286
Batting_BatAge,Batting_BatAge,Offense,0.0496,-0.7716,0.0152,,0.0017,,3.2559,0.11964755627573931,0.10836098648440262,10.600878609511474,0.0016736346203682425,0.0193,0.08,0.3794,0.6772,2.512468586962949e-05,21.183319388729014,-0.8630584925387819,4.837257731088767,False,80,+,***,0.1912421754983478,3,4,0.1146860828049725,Batting_BatAge has a statistically significant positive relationship with WinPct and explains approximately 12.0% of the variation in team winning percentage. Batting_BatAge residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,4 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.6912421754983478
Batting_3B,Batting_3B,Offense,0.0012,0.4821,0.0017,,0.5021,,0.6742,0.005794522770998567,-0.006951701296039836,0.4546070067905897,0.5021486538773412,-0.0023,0.0046,0.9174,0.7452,9.330894262290146e-08,32.37469977127599,-0.9680009221618973,5.442193028848798,False,80,+,,0.1649168310055518,3,5,0.1722286704688727,Batting_3B has a not statistically significant positive relationship with WinPct and explains approximately 0.6% of the variation in team winning percentage. Batting_3B residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,5 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.7149168310055518
HR,Batting_HR,Offense,0.0016,0.3574,0.0004,,0.0003,,3.819,0.15753038338479275,0.14672949086408504,14.584941298394643,0.0002673425297740822,0.0008,0.0025,0.1399,0.3008,0.0004455383016539433,15.432454680434299,-0.8224345223217575,4.38713453929452,False,80,+,***,0.2977110732039918,2,5,0.22287592621780666,HR has a statistically significant positive relationship with WinPct and explains approximately 15.8% of the variation in team winning percentage. HR residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,5 observations exceed the leverage threshold of 0.0500. | 2 observations exceed the Cook's distance threshold of 0.0500.,1.7477110732039918
Batting_G,Batting_G,Offense,0.0187,-1.2844,0.0162,,0.2513,,1.1558,0.016836966180194146,0.004232311900453145,1.3357737393286078,0.2513086425741547,-0.0135,0.0509,0.741,0.9341,2.1333351824322107e-08,35.32598835098025,-1.0065984811687396,5.5582874146837415,False,80,+,,0.18417943890639865,3,6,0.2700329308452236,Batting_G has a not statistically significant positive relationship with WinPct and explains approximately 1.7% of the variation in team winning percentage. Batting_G residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,6 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.7841794389063987
