Year,Team,Batting_R/G,Batting_G,Pitching_W,Pitching_L,Pitching_W-L%,Batting_BA,Batting_OBP,Batting_SLG,Batting_OPS,Pitching_ERA,Pitching_RA9,Pitching_WHIP,FIP,Batting_BatAge,Batting_PA,Batting_AB,Batting_R,Batting_H,Batting_2B,Batting_3B,Batting_HR,Batting_RBI,Batting_SB,Batting_CS,Batting_BB,Batting_SO,Batting_TB,Batting_HBP,Batting_SH,Batting_SF,Pitching_PAge,Pitching_R/G,Pitching_G,Pitching_GS,Pitching_GF,Pitching_CG,Pitching_SV,Pitching_IP,Pitching_H,Pitching_R,Pitching_ER,Pitching_HR,Pitching_BB,Pitching_SO,Pitching_H9,Pitching_HR9,Pitching_BB9,Pitching_SO9,Pitching_SO/W,Pitching_IP_decimal
2021,Evansville Otters,5.23,96,53,38,0.582,0.262,0.34,0.393,0.732,3.66,4.33,1.243,4.191,25.4,3640,3184,502,834,171,16,71,461,105,34,321,825,1250,75,19,41,25,4.16,96,95,93,2,31,829.1,740,399,337,84,291,843,8,0.9,3.2,9.1,2.9,829.3333333333334
2021,Florence Y'Alls,5.48,95,57,36,0.613,0.269,0.355,0.409,0.764,4.47,5.08,1.383,4.393,25.8,3588,3083,521,829,171,14,78,470,157,48,350,682,1262,82,31,42,24.6,4.84,95,95,93,2,30,814.2,867,460,405,83,260,713,9.6,0.9,2.9,7.9,2.74,814.6666666666666
2021,Gateway Grizzlies,4.51,95,33,55,0.375,0.257,0.333,0.409,0.742,5.64,6.43,1.606,5.557,25.4,3505,3109,428,799,161,11,97,390,77,38,300,793,1273,63,13,20,24.7,6.04,95,95,93,2,19,803.1,819,574,503,108,471,754,9.2,1.2,5.3,8.4,1.6,803.3333333333334
2021,Joliet Slammers,4.06,95,35,54,0.393,0.237,0.319,0.346,0.665,4.87,5.55,1.488,4.542,23.8,3545,3114,386,738,139,13,58,354,70,32,317,833,1077,71,16,27,24.5,5.32,95,95,94,1,20,818.2,811,505,443,58,407,749,8.9,0.6,4.5,8.2,1.84,818.6666666666666
2021,Lake Erie Crushers,4.06,96,40,51,0.44,0.241,0.316,0.368,0.683,4.05,4.82,1.432,4.198,25.6,3482,3095,390,745,154,16,69,345,109,23,295,798,1138,54,15,23,25.6,4.54,96,96,96,0,25,814.1,819,436,366,57,347,787,9.1,0.6,3.8,8.7,2.27,814.3333333333334
2021,New Jersey Jackals,5.29,95,38,56,0.404,0.28,0.356,0.434,0.789,5.99,6.95,1.682,5.513,25.6,3559,3111,503,870,175,23,86,462,71,31,340,614,1349,49,20,39,25.5,6.44,95,95,93,2,15,792,909,612,527,104,423,668,10.3,1.2,4.8,7.6,1.58,792
2021,New York Boulders,5.58,95,41,51,0.446,0.27,0.358,0.431,0.79,5.73,6.37,1.587,4.936,25.9,3662,3140,530,847,168,15,103,476,159,28,401,723,1354,56,23,42,24.7,5.97,95,95,94,1,15,801,882,567,510,86,389,730,9.9,1,4.4,8.2,1.88,801
2021,Schaumburg Boomers,5.23,96,50,44,0.532,0.262,0.343,0.407,0.75,4.01,4.72,1.359,4.17,25.2,3682,3220,502,844,150,29,86,460,122,26,355,763,1310,58,19,30,24.6,4.54,96,95,88,7,18,831,839,436,370,71,290,768,9.1,0.8,3.1,8.3,2.65,831
2021,Southern Illinois Miners,4.92,96,50,39,0.562,0.266,0.344,0.396,0.739,3.71,4.32,1.214,4.113,25.3,3596,3144,472,837,153,13,76,444,46,12,335,621,1244,54,30,33,25.9,4.06,96,96,88,8,22,812.1,705,390,335,65,281,757,7.8,0.7,3.1,8.4,2.69,812.3333333333334
2021,Sussex County Miners,5.47,95,48,44,0.522,0.281,0.373,0.424,0.797,5.03,5.9,1.492,4.702,26.2,3499,2952,520,829,155,26,72,454,141,61,389,657,1252,70,42,46,25.1,5.42,95,95,91,4,30,785.1,872,515,439,77,300,613,10,0.9,3.4,7,2.04,785.3333333333334
2021,Tri-City Valley Cats,4.91,96,48,45,0.516,0.278,0.341,0.451,0.791,5.25,5.74,1.538,5.328,26.5,3394,3054,471,848,156,15,114,443,57,28,267,711,1376,36,14,23,24.7,5.18,96,96,92,4,26,779.2,832,497,455,93,367,596,9.6,1.1,4.2,6.9,1.62,779.6666666666666
2021,Washington WildThings,4.95,96,56,39,0.589,0.274,0.355,0.415,0.77,3.67,4.18,1.286,4.342,25.5,3547,3058,475,839,147,23,79,429,107,54,342,659,1269,65,36,46,25.4,3.92,96,96,91,5,25,809.1,773,376,330,84,268,760,8.6,0.9,3,8.5,2.84,809.3333333333334
2021,Windy City ThunderBolts,4.77,96,43,49,0.467,0.244,0.337,0.36,0.697,4.19,5.04,1.36,4.314,24.5,3651,3148,458,768,136,37,52,406,204,62,378,773,1134,78,15,32,25.2,4.84,96,96,92,4,27,831,828,465,387,67,302,711,9,0.7,3.3,7.7,2.35,831
